,Customer Type,Class,Flight Distance,Seat Comfort,Inflight Wifi Service,Inflight Entertainment,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
90120,1,2,2719,4,4,4,2,0,0,1
70120,1,2,324,1,1,3,1,73,59,0
67781,1,2,1527,1,5,3,1,0,16,0
18868,1,2,895,1,5,5,4,6,2,1
55550,0,0,1755,3,1,3,2,7,0,0
122158,1,2,799,1,3,5,5,0,0,1
47475,0,2,1360,2,3,2,4,0,0,0
29631,1,0,1892,2,2,4,5,5,5,1
33684,1,0,532,4,1,4,4,0,0,0
123437,1,2,448,1,4,4,5,40,50,1
11119,1,0,2020,2,5,2,2,16,1,0
35425,1,1,2111,4,1,4,5,2,0,0
55378,0,0,1858,3,4,3,3,0,0,0
43390,0,2,1717,1,5,1,5,0,0,0
121294,1,2,1118,3,4,5,5,0,0,1
96765,1,0,647,4,2,3,4,0,0,0
100921,1,2,3332,3,2,5,4,32,26,1
126350,1,0,1483,5,5,5,3,0,0,1
30596,1,0,1901,3,2,3,1,0,0,0
24161,1,0,458,1,2,5,5,0,0,1
29835,1,0,1693,3,2,3,4,0,0,0
68700,1,2,2873,1,5,3,1,16,13,0
100636,1,2,522,5,5,5,4,0,0,1
12949,1,2,1419,5,5,5,4,0,0,1
57583,0,0,2093,4,4,4,3,9,45,0
53642,0,2,1523,3,5,3,4,0,0,1
105881,1,0,1327,4,4,4,5,0,0,1
87124,1,0,1796,3,4,3,3,0,0,0
26029,1,0,2277,4,3,4,5,25,36,1
10858,1,0,1870,2,4,5,4,0,0,1
47761,0,0,2326,2,2,2,3,106,145,0
86729,1,2,2434,4,5,3,4,0,0,0
51207,0,0,1938,3,3,4,2,0,0,0
34069,1,1,1341,4,1,0,4,0,0,1
6147,1,0,1616,1,2,1,5,0,3,0
109259,1,1,1888,4,4,4,4,0,0,1
63590,1,2,3223,0,2,4,2,0,2,1
34016,1,0,1477,4,4,4,5,5,35,0
51032,0,0,1618,3,1,3,4,7,2,0
27303,1,0,2329,3,3,1,4,142,133,0
47278,0,2,2027,2,2,2,4,0,0,0
101270,1,2,3132,1,4,5,4,0,0,1
96474,1,2,2276,2,5,5,4,8,17,1
23050,1,0,2419,3,4,3,4,5,0,0
53814,0,0,2138,3,1,3,3,0,0,0
48864,0,2,1219,2,1,2,5,0,0,0
92561,1,2,272,2,2,5,4,29,23,1
